arm,outcome,model,AUROC,AUROC_lci,AUROC_uci,AUPRC,Brier_raw,Brier_recal,Cal_intercept_raw,Cal_slope_raw,Cal_slope_recal,EO_ratio_raw,EO_ratio_recal
clinical,stillbirth,svm,0.716631834269342,0.7092815126294111,0.7236365725818165,0.13889742221218132,0.21062630460374504,0.04478829751556102,-3.0060169857275034,0.2391432133933503,1.031253315734346,0.10943088811521265,0.9888034832581165
clinical,stillbirth,xgboost,0.7482147988007742,0.7410680844020555,0.755031512034458,0.1806438558702756,0.04260744652763173,0.042649161680532253,0.23043300424918478,1.0996328386054255,0.9310683783675687,0.9717911895199337,0.9855358058788694
survey,neonatal,catboost,0.6535830066028023,0.6467093826221444,0.6612349920635355,0.06700411236625714,0.2169227509278087,0.025604926209652712,-3.5604988946371754,0.9786760035528461,0.8631138222087601,0.058990356791956494,0.9989109799109125
survey,neonatal,lightgbm,0.6545516208505939,0.6473433719002014,0.6620129764020697,0.06695144489874547,0.21762032445228707,0.025595344551787427,-3.5642937560638472,0.9751961225261955,0.8759967772518962,0.05892978943758261,0.9994245186508974
survey,neonatal,logistic,0.638361513057492,0.6312304384980758,0.6460575098002641,0.06324009316496712,0.225101435641607,0.025610602138968132,-3.5870387637709285,0.9784270926413157,0.9296522075388715,0.05751968108324626,0.9991966737954735
survey,neonatal,mlp,0.6509249799652302,0.6440598637277001,0.6586608497706995,0.06541183584068923,0.216790684677362,0.025617186533235494,-3.5499967992760255,0.9359443494626654,0.8310491888001384,0.05960633466658604,1.0000443461167674
survey,neonatal,naive_bayes,0.6083210764851645,0.6007384616610915,0.6163188324718261,0.05579270000915954,0.09453143538878822,0.025708267400072954,-3.314772981114942,0.08185028346571545,0.9288780092257279,0.23120526902425997,1.001099746131843
survey,neonatal,random_forest,0.6423019582660726,0.6349741915791786,0.6498795475622389,0.06418445620428627,0.20583884198504776,0.02571881250984641,-3.4807617242711855,1.0881372359066153,0.7760811230953891,0.060240358938857236,0.9993970643127134
survey,neonatal,svm,0.6382125161884165,0.6311752779480868,0.6459337181577715,0.06331658120463912,0.23495329207013754,0.026031105530419856,-3.5987728194609097,0.46328032015537945,0.9284130684517743,0.0560254887218103,1.0026919049556728
survey,neonatal,xgboost,0.6550966853190339,0.6484516531523042,0.6625652797155662,0.06743680881220711,0.025573534814687066,0.025596239065869438,-0.12699301064854135,0.9628984882131811,0.8956817903602525,0.9991855487970173,1.0000675662406322
survey,perinatal,catboost,0.6371204089731063,0.6305102316544015,0.6441929993493681,0.06513238246217284,0.23064623056417938,0.03100353590657899,-3.3881923996900416,1.0622352687616365,0.9193656039174327,0.0688368988204152,1.009620575436296
survey,perinatal,lightgbm,0.6381806757062769,0.6317088385401439,0.6455156687054412,0.06469691378144236,0.22888127157539986,0.031018896327487232,-3.376197808183304,1.083366697722522,0.8867498108596644,0.06918622671542435,1.0099270093716988
survey,perinatal,logistic,0.6129871782512861,0.6058800645354671,0.6202688510294335,0.05930985435331926,0.236051382941199,0.031092500142358648,-3.4012476815901658,0.9870641489170666,0.9832149359604054,0.0678120258951948,1.0125728417621866
survey,perinatal,mlp,0.6310130808373356,0.6242397147839601,0.6383154758547083,0.0635351364934766,0.2427636520385474,0.03103516041070119,-3.439747643375486,0.8989598074014747,0.9181023838434856,0.06731734251599984,1.0086328415249817
survey,perinatal,naive_bayes,0.6006715323186007,0.5936459327729456,0.6080333708021457,0.050963170582679414,0.12444011197183635,0.031201978638477578,-3.229005887970326,0.04962416954322845,0.9191349176126239,0.25913719131623497,1.0099264069465888
survey,perinatal,random_forest,0.6295649166843797,0.6228834573453446,0.6366491946704643,0.06298482290147422,0.2252539065260605,0.031068551481955996,-3.3464202269102015,1.1636466015009839,0.8398522187438858,0.06944947633921371,1.0104770531219585
survey,perinatal,svm,0.6109983240915311,0.6040324015069918,0.6186109569826612,0.059295707396188904,0.238459979587006,0.031131024464972533,-3.405042956099298,0.9358311077206635,1.0152431254149004,0.06725920333553831,1.012119263746433
survey,perinatal,xgboost,0.6400277096970404,0.6333761916705842,0.6471162868017585,0.06495156613450175,0.031000766241756388,0.031024437937784772,0.059334188952356606,1.0158631103010647,0.8770560936860173,1.007265482534253,1.009243402882623
survey,stillbirth,catboost,0.6554784928219256,0.6465304247390702,0.6643884298917736,0.03366719361734247,0.22126571927585567,0.014923957954011082,-4.124793264560419,0.929156750718048,0.8032483904241642,0.03395091227024802,1.0203344730266617
survey,stillbirth,lightgbm,0.655158282821116,0.6459553693580282,0.6643654547367296,0.034633424139351374,0.2220137206499977,0.014914257282984414,-4.1275877666372764,0.9090717689784138,0.8042930199458941,0.03395635625857259,1.019427197722561
survey,stillbirth,logistic,0.6282318491924914,0.6187300096414705,0.6379093601513257,0.028515096035076466,0.23238192506365707,0.014949068368936986,-4.156220920419326,0.919621265320428,0.9405784055364186,0.032610522057120374,1.0188456737741878
survey,stillbirth,mlp,0.6449882618780356,0.6357765834534369,0.6540924441986214,0.031187273097203184,0.23277041653031025,0.014941363359570064,-4.1610037374654185,0.8689183389113396,0.7604783316811284,0.033050096250919515,1.0188930878921967
survey,stillbirth,naive_bayes,0.593362640731835,0.5827048363287644,0.6030813902026667,0.022344952524315318,0.11903769170145075,0.01498570532445714,-4.008015919916558,0.04619262332475577,0.9408408239167761,0.10193224376514178,1.022175466906496
survey,stillbirth,random_forest,0.6432425309494478,0.6345066015172207,0.6521201541398994,0.030177827198157994,0.221775792678869,0.014957548714349716,-4.084651607117024,1.427167048984986,0.7539964119576452,0.03291620015086273,1.0247751198464379
survey,stillbirth,svm,0.6249544213703023,0.614941260292213,0.6344649944916058,0.028500163313580712,0.20720255757452583,0.014950572513482993,-4.03703137027183,0.9435895146430461,0.9397628446234314,0.034631614411674026,1.022205182265009
survey,stillbirth,xgboost,0.6555138318915827,0.646640906994872,0.6642288377613791,0.035740825760542716,0.014902727138470146,0.014916002356518724,-0.21345529421994724,0.9404985008918035,0.8054022608115307,1.0208501789062874,1.0212797200946655
