arm,outcome,model,subgroup_var,subgroup_level,N,events,AUROC,calibration_slope,calibration_intercept,TPR,FPR,positive_rate,equal_opportunity_diff,demographic_parity_diff,equalised_odds_diff
clinical,stillbirth,svm,mat_age_cat,_DISPARITY_,,,,,,,,,0.32393209200438117,0.2832577125046199,0.32393209200438117
clinical,stillbirth,svm,mat_delivery_mode,_DISPARITY_,,,,,,,,,0.19640702284812567,0.17874525588796158,0.19640702284812567
clinical,stillbirth,lightgbm,mat_age_cat,20-34,70303.0,3237.0,0.7437543346125937,0.9149891208758919,-0.2561852231721091,0.6336113685511275,0.2605194882652909,0.2776979645249847,,,
clinical,stillbirth,lightgbm,mat_age_cat,<20,18816.0,747.0,0.7344708588815017,0.8842442381761365,-0.33901664531116005,0.5796519410977242,0.22851292268526205,0.242453231292517,,,
clinical,stillbirth,lightgbm,mat_age_cat,>=35,10786.0,792.0,0.7441841367446731,0.902664716186649,-0.16189848942231744,0.7424242424242424,0.38633179907944765,0.41247913962544036,,,
clinical,stillbirth,lightgbm,mat_delivery_mode,Vaginal spontaneous,69987.0,2605.0,0.7420925959654443,0.9479516645615184,-0.30993450294308783,0.5758157389635317,0.22770176011397703,0.2406589795247689,,,
clinical,stillbirth,lightgbm,mat_delivery_mode,Vaginal assisted,5149.0,324.0,0.723774707349837,0.765220088385863,-0.18229102433753727,0.4691358024691358,0.12062176165803108,0.14255195183530783,,,
clinical,stillbirth,lightgbm,mat_delivery_mode,Caesarean,19072.0,931.0,0.6767603823752961,0.6808146264311629,-0.8643438911210256,0.5596133190118152,0.30786615952814067,0.32015520134228187,,,
clinical,stillbirth,lightgbm,mat_age_cat,_DISPARITY_,,,,,,,,,0.1627723013265182,0.17002590833292336,0.1627723013265182
clinical,stillbirth,lightgbm,mat_delivery_mode,_DISPARITY_,,,,,,,,,0.10667993649439589,0.17760324950697404,0.1872443978701096
clinical,stillbirth,xgboost,mat_age_cat,20-34,70303.0,3237.0,0.7446414720034593,0.9320579143362093,-0.20733410444815864,0.6391720729070126,0.26526108609429516,0.28247727692986074,,,
clinical,stillbirth,xgboost,mat_age_cat,<20,18816.0,747.0,0.7391110367272029,0.9167877334455732,-0.24833866599641305,0.5836680053547524,0.23011788145442472,0.24415391156462585,,,
clinical,stillbirth,xgboost,mat_age_cat,>=35,10786.0,792.0,0.7466182992623858,0.8975406260193634,-0.2062827442357213,0.7664141414141414,0.41024614768861317,0.43639903578713146,,,
clinical,stillbirth,xgboost,mat_delivery_mode,Vaginal spontaneous,69987.0,2605.0,0.74277986551709,0.9644888453969146,-0.2707641924528026,0.5861804222648752,0.23228755453978808,0.2454598711189221,,,
clinical,stillbirth,xgboost,mat_delivery_mode,Vaginal assisted,5149.0,324.0,0.723572570843728,0.7616590409930322,-0.20290351622867203,0.4506172839506173,0.12331606217616581,0.14391143911439114,,,
clinical,stillbirth,xgboost,mat_delivery_mode,Caesarean,19072.0,931.0,0.6794336771551597,0.7213113214073665,-0.7593294921990779,0.5767991407089151,0.31960751887988537,0.3321623322147651,,,
clinical,stillbirth,xgboost,mat_age_cat,_DISPARITY_,,,,,,,,,0.18274613605938905,0.19224512422250561,0.18274613605938905
clinical,stillbirth,xgboost,mat_delivery_mode,_DISPARITY_,,,,,,,,,0.13556313831425792,0.18825089310037396,0.19629145670371956
clinical,stillbirth,random_forest,mat_age_cat,20-34,70303.0,3237.0,0.74327073922662,0.8988772270483907,-0.2971046603737909,0.6759345072598084,0.3069066292905496,0.3238979844387864,,,
clinical,stillbirth,random_forest,mat_age_cat,<20,18816.0,747.0,0.7380143186059863,0.8578066237304257,-0.40598885609412,0.6211512717536813,0.27489069677347944,0.2886373299319728,,,
clinical,stillbirth,random_forest,mat_age_cat,>=35,10786.0,792.0,0.7467811494977794,0.8814436258242271,-0.18647761917739267,0.7815656565656566,0.43315989593756254,0.4587428147598739,,,
clinical,stillbirth,random_forest,mat_delivery_mode,Vaginal spontaneous,69987.0,2605.0,0.7420662215730396,0.9218497872002097,-0.36204862571815855,0.6253358925143954,0.2685583687038081,0.28183805563890435,,,
clinical,stillbirth,random_forest,mat_delivery_mode,Vaginal assisted,5149.0,324.0,0.7220034542314334,0.7787174622330468,-0.07796049384060584,0.4783950617283951,0.14051813471502592,0.16177898621091474,,,
