arm,outcome,model,cohort,N_external,cases_external,AUROC,AUPRC,Brier_raw,Brier_recal,Cal_slope_raw,Cal_slope_recal
survey,stillbirth,naive_bayes,bangladesh,24156,686,0.5083006530264428,0.031780398279768855,0.9716008528723057,0.02762856535620251,-0.25466277121607656,0.9716718257290368
survey,stillbirth,random_forest,bangladesh,24156,686,0.6378246033333292,0.05218442796077474,0.24946470955521746,0.027553048518707574,2.0196728654680447,1.1125072402434766
survey,stillbirth,svm,bangladesh,24156,686,0.6589367233898247,0.05399545364019865,0.37989668704416907,0.027369151423382688,1.6741188121102475,1.5818531948286798
survey,stillbirth,xgboost,bangladesh,24156,686,0.6385023185730558,0.05156073657022897,0.02746666197758194,0.027494176843960574,0.9128766243857214,0.8229509227749564
clinical,neonatal,catboost,clinical,42768,748,0.847751452707776,0.274882856167513,0.16907566320553077,0.014773506286002717,1.374437334350595,1.2052863299660665
clinical,neonatal,lightgbm,clinical,42768,748,0.8440140867475889,0.29828443383222364,0.1776995709141392,0.014486070542241642,1.3543715485621992,1.2042113103747725
clinical,neonatal,logistic,clinical,42768,748,0.7189058972427187,0.12036650103742363,0.017559931371489073,0.017426134564168406,0.04226399738317772,0.1088722688149644
clinical,neonatal,mlp,clinical,42768,748,0.7852172666695514,0.16211263942537035,0.062038874888680595,0.016644321852755904,1.1616035421010684,1.2194246409725165
clinical,neonatal,naive_bayes,clinical,42768,748,0.7122382994346975,0.0819269591196517,0.17722311050321082,0.017122059652305226,0.04339323199741621,0.27168764032123244
clinical,neonatal,random_forest,clinical,42768,748,0.8476009164212611,0.26705875074425867,0.10855468847721352,0.014847193226701028,1.6060467876977567,1.0721499097304572
clinical,neonatal,svm,clinical,42768,748,0.5753807074298716,0.11161929870619808,0.04605318239122956,0.017197922888395598,0.044889897382798805,0.14828856157788936
clinical,neonatal,xgboost,clinical,42768,748,0.8476476537783127,0.2916621782704788,0.015399798808006454,0.015181463339343176,1.4607990387757102,1.332259532112113
clinical,perinatal,catboost,clinical,44385,2311,0.764621247881918,0.38422618922876606,0.11687376645815234,0.0401453925083751,1.2669935574266686,1.1537754525700197
clinical,perinatal,lightgbm,clinical,44385,2311,0.7687685275291374,0.36648033114415113,0.14527787023567493,0.04100439820031881,1.4770575709954414,1.3162630675512514
clinical,perinatal,logistic,clinical,44385,2311,0.6533152669730056,0.18953267364220847,0.048956542360375305,0.05164267378831382,0.012482097694844312,0.019362928156711725
clinical,perinatal,mlp,clinical,44385,2311,0.6561241071885318,0.18673203725503326,0.05641419835615575,0.04998378471396932,0.3185410254341819,0.27935628420869507
clinical,perinatal,naive_bayes,clinical,44385,2311,0.5243697937821818,0.05353280901311141,0.6904618100582771,0.10450997823381097,0.02123867320106581,0.16422760321868252
clinical,perinatal,random_forest,clinical,44385,2311,0.7635442782839171,0.37312461422658694,0.14088945953102,0.04167470717477169,1.6940293226924497,1.3094170332836517
clinical,perinatal,svm,clinical,44385,2311,0.5441618522696418,0.17270650913164554,0.06762741353289856,0.05062999202868928,0.021051187688246407,0.09113435714994729
clinical,perinatal,xgboost,clinical,44385,2311,0.767839167260618,0.37998744920249916,0.04051621951016404,0.040117284078711506,1.2992327591203505,1.196991489050149
clinical,stillbirth,catboost,clinical,44385,1563,0.7600492843457718,0.273267717934532,0.11470540388861836,0.0295835184145957,1.2212812596628804,1.1126335874462365
clinical,stillbirth,lightgbm,clinical,44385,1563,0.7605284883401789,0.25134126147673636,0.12300837528883704,0.03016668228828011,1.3379273707756252,1.2011784425465757
clinical,stillbirth,logistic,clinical,44385,1563,0.6399519647057483,0.12822603945489958,0.03373781696407596,0.035038084935049604,-0.00015330749842570575,0.002783366903025596
clinical,stillbirth,mlp,clinical,44385,1563,0.6515388150379706,0.13837064428087795,0.044262887492808406,0.033630848782113414,0.8221160830259201,0.8369265054724385
clinical,stillbirth,naive_bayes,clinical,44385,1563,0.5390045397046435,0.03745475179180808,0.7032121827031521,0.0718700220654841,0.03194175216167258,0.2670048699349843
clinical,stillbirth,random_forest,clinical,44385,1563,0.7522410912670292,0.2589684796488989,0.1337556778325881,0.030535170514118568,1.6555401337341782,1.3008078053824572
clinical,stillbirth,svm,clinical,44385,1563,0.5165396907187075,0.11706419467231163,0.05243336940514675,0.03465274962670023,0.00041328174553050424,-0.0009369577250385821
clinical,stillbirth,xgboost,clinical,44385,1563,0.7651499714944331,0.2695874819078815,0.029932162511764792,0.029486162493060453,1.4658766216262609,1.25342736369501
